Var1,Var2,Correlation,Country
CO2_Emissions_Total,CO2_Emissions_Total,1,Brunei
GHG_Emissions_Total,CO2_Emissions_Total,0.972,Brunei
PM25_Exposure,CO2_Emissions_Total,0.178,Brunei
Renewable_Energy_%,CO2_Emissions_Total,NA,Brunei
GDP (Current USD),CO2_Emissions_Total,-0.246,Brunei
GDP per Capita (Current USD),CO2_Emissions_Total,-0.302,Brunei
CO2_Emissions_Total,GHG_Emissions_Total,0.972,Brunei
GHG_Emissions_Total,GHG_Emissions_Total,1,Brunei
PM25_Exposure,GHG_Emissions_Total,0.093,Brunei
Renewable_Energy_%,GHG_Emissions_Total,NA,Brunei
GDP (Current USD),GHG_Emissions_Total,-0.092,Brunei
GDP per Capita (Current USD),GHG_Emissions_Total,-0.137,Brunei
CO2_Emissions_Total,PM25_Exposure,0.178,Brunei
GHG_Emissions_Total,PM25_Exposure,0.093,Brunei
PM25_Exposure,PM25_Exposure,1,Brunei
Renewable_Energy_%,PM25_Exposure,NA,Brunei
GDP (Current USD),PM25_Exposure,0.132,Brunei
GDP per Capita (Current USD),PM25_Exposure,0.021,Brunei
CO2_Emissions_Total,Renewable_Energy_%,NA,Brunei
GHG_Emissions_Total,Renewable_Energy_%,NA,Brunei
PM25_Exposure,Renewable_Energy_%,NA,Brunei
Renewable_Energy_%,Renewable_Energy_%,1,Brunei
GDP (Current USD),Renewable_Energy_%,NA,Brunei
GDP per Capita (Current USD),Renewable_Energy_%,NA,Brunei
CO2_Emissions_Total,GDP (Current USD),-0.246,Brunei
GHG_Emissions_Total,GDP (Current USD),-0.092,Brunei
PM25_Exposure,GDP (Current USD),0.132,Brunei
Renewable_Energy_%,GDP (Current USD),NA,Brunei
GDP (Current USD),GDP (Current USD),1,Brunei
GDP per Capita (Current USD),GDP (Current USD),0.991,Brunei
CO2_Emissions_Total,GDP per Capita (Current USD),-0.302,Brunei
GHG_Emissions_Total,GDP per Capita (Current USD),-0.137,Brunei
PM25_Exposure,GDP per Capita (Current USD),0.021,Brunei
Renewable_Energy_%,GDP per Capita (Current USD),NA,Brunei
GDP (Current USD),GDP per Capita (Current USD),0.991,Brunei
GDP per Capita (Current USD),GDP per Capita (Current USD),1,Brunei
CO2_Emissions_Total,CO2_Emissions_Total,1,Cambodia
GHG_Emissions_Total,CO2_Emissions_Total,0.998,Cambodia
PM25_Exposure,CO2_Emissions_Total,-0.12,Cambodia
Renewable_Energy_%,CO2_Emissions_Total,-0.988,Cambodia
GDP (Current USD),CO2_Emissions_Total,0.969,Cambodia
GDP per Capita (Current USD),CO2_Emissions_Total,0.961,Cambodia
CO2_Emissions_Total,GHG_Emissions_Total,0.998,Cambodia
GHG_Emissions_Total,GHG_Emissions_Total,1,Cambodia
PM25_Exposure,GHG_Emissions_Total,-0.158,Cambodia
Renewable_Energy_%,GHG_Emissions_Total,-0.985,Cambodia
