Country,Year,CO2_Emissions_Total,GHG_Emissions_Total,PM25_Exposure,Renewable_Energy_%,GDP (Current USD),GDP per Capita (Current USD)
Brunei,2010,7.38,10.03,6.29,0,13707121031.26,34937.56
Brunei,2011,7.86,10.73,7.23,0,18524791070.68,46382.83
Brunei,2012,7.62,10.39,7.64,0,19048443339.95,46968.6
Brunei,2013,7.79,10.33,7.81,0,18094148099.49,44003.06
Brunei,2014,8.11,10.53,8.04,0,17097797371.97,41026.51
Brunei,2015,7.37,9.82,7.77,0,12930296852.49,30625.13
Brunei,2016,7.9,10.23,7.71,0,11400266055.32,26663.3
Brunei,2017,7.87,10.23,7.23,0,12128168046.78,28024.38
Brunei,2018,8.03,10.46,7.49,0,13566908401.19,30988.12
Brunei,2019,7.6,10.13,7.95,0,13469235348.22,30426.57
Brunei,2020,9.9,12.57,7.6,0,12005799664.27,26834.36
Cambodia,2010,5.16,32.67,24.82,64.8,13808673288.07,952.27
Cambodia,2011,5.36,33.97,21.68,64,16032622023.83,1088.98
Cambodia,2012,5.63,33.64,23,64.4,17826536699.80,1192.8
Cambodia,2013,5.69,33.48,25.78,65,19807135252.86,1305.66
Cambodia,2014,7.03,35.27,22.11,63.7,22041463967.90,1431.56
Cambodia,2015,8.51,36.91,21.6,60.6,24174170369.07,1547.32
Cambodia,2016,10.59,39.49,22.41,58,26556545153.36,1675.2
Cambodia,2017,11.85,41.4,20.71,56.3,29355665909.79,1826.35
Cambodia,2018,12.34,42.26,22.99,58.1,33145892168.90,2036.67
Cambodia,2019,15.86,45.77,22.97,53,36685356407.72,2225.88
Cambodia,2020,16.6,46.51,24.14,51.4,34818073901.49,2081.74
Indonesia,2010,443.71,781.99,20.6,36,755094157594.52,3065.68
Indonesia,2011,499.97,880.62,17.92,32.4,892969104529.57,3579.46
Indonesia,2012,504.27,899.99,19.55,30.1,917869913364.92,3632.27
Indonesia,2013,474.98,864.85,20.1,30.6,912524136718.02,3566.6
Indonesia,2014,505.15,907.28,18.54,29.3,890814755511.01,3441.07
Indonesia,2015,512.41,907.32,18.67,26.6,860854232717.72,3288.22
Indonesia,2016,507.08,902.77,19.13,27.8,931877364034.20,3521.47
Indonesia,2017,535.72,957.37,16.96,25.2,1015618744168.08,3798.88
Indonesia,2018,597.48,1055.34,18.44,22,1042271532953.49,3860.95
Indonesia,2019,637.31,1108.78,19.43,19.8,1119099871385.79,4106.95
Indonesia,2020,594.26,1050.34,17.88,21.9,1059054842711.55,3853.7
Laos,2010,2.96,14.77,24.23,64.8,7131771014.70,1125.92
Laos,2011,3.13,14.77,20.58,63.6,8750104617.17,1361.55
Laos,2012,3.34,15.88,22.44,62.4,10192846339.40,1563.57
Laos,2013,3.94,16.47,24.24,58.6,11983252626.55,1812.52
Laos,2014,4.39,17.4,21.39,58.2,13279245886.39,1981.04
Laos,2015,8.93,22.4,20.17,53.3,14426380125.65,2121.01
Laos,2016,15.87,30.06,22.46,51.7,15912501722.61,2303.22
Laos,2017,19.24,33.42,19.15,50.6,17071155481.50,2432.43
