State,Year,Avg_Rainfall,Avg_Humidity
Johor,2003,2203.1,85.8
Johor,2004,2496.2,84.9
Johor,2005,2233.8,82.6
Johor,2006,2968.7,83
Johor,2007,3050.5,84.45
Johor,2008,2964.2,85.1
Johor,2009,1913.9,85.45
Johor,2010,2214.45,84.9
Johor,2011,2865.1,86.15
Johor,2012,2350,86.2
Johor,2013,2438.65,84.8
Johor,2014,2431.3,83.45
Johor,2015,2078.95,83.95
Johor,2016,1749.5,84.05
Johor,2017,2378.13,85.85
Johor,2018,2266.53,84.33
Johor,2019,2174.53,81.67
Johor,2020,2458.8,81.85
Johor,2021,2635.2,83.25
Kedah,2000,2154.1,81.6
Kedah,2001,2052.95,79.95
Kedah,2002,2164.6,77.85
Kedah,2003,2704.25,79.1
Kedah,2004,2120.35,78.55
Kedah,2005,2697.6,77
Kedah,2006,2494.5,76.35
Kedah,2007,2395.3,78
Kedah,2008,2308.65,79.85
Kedah,2009,2644.8,79.95
Kedah,2010,2398.2,79.4
Kedah,2011,2272.6,80.7
Kedah,2012,2580.2,82.15
Kedah,2013,2222.85,80.8
Kedah,2014,2138,79.75
Kedah,2015,2309.1,78.95
Kedah,2016,1868.3,79.25
Kedah,2017,2824,82.8
Kedah,2018,2202.2,80.4
Kedah,2019,2296.95,80.55
Kedah,2020,2570,82.25
Kedah,2021,2272,83.8
Kelantan,2000,3012.2,84
Kelantan,2001,2559.85,84.05
Kelantan,2002,1886.85,82.95
Kelantan,2003,2534.85,83.75
Kelantan,2004,2340.35,82.95
Kelantan,2005,2665,82.45
Kelantan,2006,2393.2,82.45
Kelantan,2007,2555.7,82.2
Kelantan,2008,3349.25,82.75
Kelantan,2009,3170.55,83.8
Kelantan,2010,2605.5,82.65
Kelantan,2011,3363,83.2
Kelantan,2012,2796.9,83.25
Kelantan,2013,2684.4,83.7
Kelantan,2014,3058.35,83.45
Kelantan,2015,2138.7,82.3
Kelantan,2016,2470.6,81.95
Kelantan,2017,3418.7,85.7
Kelantan,2018,2592.1,83.9
Kelantan,2019,1758.07,80.05
Kelantan,2020,3189.73,82.3
Kelantan,2021,2796.7,83.13
Melaka,2000,2156.7,82.4
Melaka,2001,2220.1,82.4
Melaka,2002,2082.3,80.1
Melaka,2003,1824.2,81.4
Melaka,2004,1615.5,80.5
Melaka,2005,1875.5,77.6
Melaka,2006,2178.1,79.7
Melaka,2007,2078.6,79.3
Melaka,2008,2194.4,78.7
Melaka,2009,1878,78.9
Melaka,2010,1992.8,79.7
Melaka,2011,1845.2,82
Melaka,2012,1883.2,82.8
Melaka,2013,1389.8,81.2
Melaka,2014,1840,80.2
Melaka,2015,2324.3,81.4
Melaka,2016,2207.2,79.4
Melaka,2017,2336.9,81.4
Melaka,2018,2249.4,80.7
Melaka,2019,1616.8,76.6
Melaka,2020,1712.2,79.3
Melaka,2021,2506,80.5
Pahang,2000,3019.7,88.05
Pahang,2001,3185.55,88.2
Pahang,2002,2676.7,85.55
Pahang,2003,3387.7,87.9
Pahang,2004,2863.3,88
Pahang,2005,2798.2,86.35
Pahang,2006,2877.45,86.3
Pahang,2007,3222.95,87.2
Pahang,2008,3644.55,86.75
Pahang,2009,3379.1,86.75
Pahang,2010,2385,86.95
Pahang,2011,3276.35,88.05
Pahang,2012,3072.6,88.95
Pahang,2013,3131.5,86.9
Pahang,2014,3335.3,85.9
Pahang,2015,1921.94,84.5
Pahang,2016,1938.52,85.12
Pahang,2017,2793.78,86.1
Pahang,2018,2406.56,84.96
Pahang,2019,1737.62,83.4
Pahang,2020,2262.12,82.52
Pahang,2021,2641.88,83.54
Perak,2000,2304.15,83.8
Perak,2001,1960.05,83.85
Perak,2002,1820.5,82.55
Perak,2003,2764.35,83.6
Perak,2004,2209.9,82.45
Perak,2005,2025,80.45
Perak,2006,2639.25,82.25
Perak,2007,2160.85,82.05
Perak,2008,2879.55,82.3
Perak,2009,2591.15,83
Perak,2010,2353.35,82.1
Perak,2011,2526.7,82.65
Perak,2012,2306.2,81.55
Perak,2013,2319.7,80.8
Perak,2014,2082.1,80.05
Perak,2015,2287.17,80.87
Perak,2016,1792.57,78.77
Perak,2017,2404.23,83
Perak,2018,2415.33,81.8
Perak,2019,2083.83,80.2
Perak,2020,2479.17,81.97
Perak,2021,2336.87,80.87
Perlis,2000,1947,83.6
Perlis,2001,1789.4,82.9
Perlis,2002,1902.6,81.7
Perlis,2003,1837.3,82.6
Perlis,2004,1721.8,81.7
Perlis,2005,2155.3,80.1
Perlis,2006,2164.8,82.1
Perlis,2007,2128.6,83.4
Perlis,2008,1772.4,81.1
Perlis,2009,2107.1,80.2
Perlis,2010,2201.9,79.6
Perlis,2011,2162,80.3
Perlis,2012,2065.6,84.9
Perlis,2013,1714.2,84.2
Perlis,2014,1880.9,82.1
Perlis,2015,2123.8,80
Perlis,2016,1563.3,79.4
Perlis,2017,2313.4,82.9
Perlis,2018,1839.6,79.2
Perlis,2019,1553.8,81.4
Perlis,2020,2195,82.8
Perlis,2021,2081,83.6
Pulau Pinang,2000,2579.7,81.6
Pulau Pinang,2001,2286.3,80.7
Pulau Pinang,2002,1860.5,77.3
Pulau Pinang,2003,2762.45,79.2
Pulau Pinang,2004,2102.5,79.05
Pulau Pinang,2005,2027.3,78.4
Pulau Pinang,2006,2209.6,80.1
Pulau Pinang,2007,2165.8,80.55
Pulau Pinang,2008,2351.7,80.15
Pulau Pinang,2009,2806.9,79.85
Pulau Pinang,2010,2053.9,80.15
Pulau Pinang,2011,2411.7,80.75
Pulau Pinang,2012,2272.7,80.55
Pulau Pinang,2013,2531.6,80.1
Pulau Pinang,2014,2071.05,79.95
Pulau Pinang,2015,2744.15,79.7
Pulau Pinang,2016,2366,78.4
Pulau Pinang,2017,2633,80.3
Pulau Pinang,2018,2374.7,78.65
Pulau Pinang,2019,1949.55,77.4
Pulau Pinang,2020,1996,78.5
Pulau Pinang,2021,2107.5,77.95
Sabah,2000,2574.63,83.58
Sabah,2001,2899.85,83.98
Sabah,2002,1733.13,81.3
Sabah,2003,2404.23,82.63
Sabah,2004,2323.75,81.78
Sabah,2005,2580.3,81.25
Sabah,2006,3622.03,83.05
Sabah,2007,2952.6,83.63
Sabah,2008,3065.53,83.25
Sabah,2009,2889.95,81.15
Sabah,2010,2269.55,81.28
Sabah,2011,3661.43,82.98
Sabah,2012,2855.88,82.38
Sabah,2013,2557.85,82.5
Sabah,2014,2609.83,81.83
Sabah,2015,1889.93,81.73
Sabah,2016,2234.4,81.58
Sabah,2017,3244.28,83.4
Sabah,2018,2512.23,82.18
Sabah,2019,1749.73,80.55
Sabah,2020,2372.72,82.77
Sabah,2021,2711.87,83.65
Sarawak,2000,3648.8,85.35
Sarawak,2001,3387.55,84.95
Sarawak,2002,3609.05,84.65
Sarawak,2003,3950.75,85.25
Sarawak,2004,3754.7,84.8
Sarawak,2005,3325.2,83.7
Sarawak,2006,3409.45,83
Sarawak,2007,4017.7,82.8
Sarawak,2008,3643.95,83.85
Sarawak,2009,3990.9,82.9
Sarawak,2010,3825.55,84.2
Sarawak,2011,3931.2,84.7
Sarawak,2012,3266.3,83.15
Sarawak,2013,3625.4,83.7
Sarawak,2014,3032.55,82.05
Sarawak,2015,3427.58,84.52
Sarawak,2016,3767.64,84.42
Sarawak,2017,3837,85.72
Sarawak,2018,3918.52,85.26
Sarawak,2019,2314.86,85
Sarawak,2020,3961.35,86.48
Sarawak,2021,3991.93,85.6
Selangor,2000,2488.9,79.95
Selangor,2001,2431.2,80.9
Selangor,2002,2255,78.95
Selangor,2003,2750.1,81.55
Selangor,2004,2240.85,78.8
Selangor,2005,1871.65,75.4
Selangor,2006,2718.9,78.45
Selangor,2007,2504.8,79.3
Selangor,2008,2685.6,79.2
Selangor,2009,2478.3,78.55
Selangor,2010,2684.9,81.5
Selangor,2011,2150.4,82.15
Selangor,2012,2685.95,81.5
Selangor,2013,2247.75,79.6
Selangor,2014,2390,76.45
Selangor,2015,3044.83,76.1
Selangor,2016,2595.93,75.67
Selangor,2017,2479.67,76.83
Selangor,2018,3317.17,76.23
Selangor,2019,2895.83,76.03
Selangor,2020,3139.2,76.73
Selangor,2021,2812.1,75.43
Terengganu,2000,3187,84.3
Terengganu,2001,2580.4,84
Terengganu,2002,2329.1,81.3
Terengganu,2003,3341.7,82.4
Terengganu,2004,2194.4,81.1
Terengganu,2005,2825,82.7
Terengganu,2006,2047,83.1
Terengganu,2007,2129,82
Terengganu,2008,3609.6,82.6
Terengganu,2009,3593.6,82.5
Terengganu,2010,2363.2,80.7
Terengganu,2011,3645.4,84.3
Terengganu,2012,3094.4,84.5
Terengganu,2013,2908,83.8
Terengganu,2014,2870.6,81
Terengganu,2015,1860.4,81.1
Terengganu,2016,2946.4,81.7
Terengganu,2017,3074.4,82.5
Terengganu,2018,2646,82
Terengganu,2019,1603.5,83.3
Terengganu,2020,3238.8,84.1
Terengganu,2021,2518.4,83.75
Putrajaya,2000,3678.1,82.4
Putrajaya,2001,3652.6,82.6
Putrajaya,2002,3061.2,78.6
Putrajaya,2003,3207.2,79.1
Putrajaya,2004,2407.9,79.3
Putrajaya,2005,3761.1,79.1
Putrajaya,2006,3151.8,79.7
Putrajaya,2007,3277.1,79.9
Putrajaya,2008,3823.4,82.4
Putrajaya,2009,2927.4,83.8
Putrajaya,2010,4628.6,83.8
Putrajaya,2011,3410.8,82.9
Putrajaya,2012,3323.4,83.6
Putrajaya,2013,3114.2,83.3
Putrajaya,2014,3054.8,81
Putrajaya,2015,2840.4,79.5
Putrajaya,2016,3117.5,80.9
Putrajaya,2017,4938.9,83.2
Putrajaya,2018,3033.2,84.8
Putrajaya,2019,3433.6,79.7
Putrajaya,2020,4301.3,83.1
Putrajaya,2021,4127.5,83.3
NegeriSembilan,2000,2391.75,84.52
NegeriSembilan,2001,2513.38,84.79
NegeriSembilan,2002,1890.79,80.73
NegeriSembilan,2003,1981.18,82.19
NegeriSembilan,2004,1916.82,81.35
NegeriSembilan,2005,1909.99,79.75
NegeriSembilan,2006,2469.01,84.15
NegeriSembilan,2007,2584.87,84.57
NegeriSembilan,2008,2671.55,84.49
NegeriSembilan,2009,2428.38,82.1
NegeriSembilan,2010,2407.29,83.14
NegeriSembilan,2011,2470.8,85.27
NegeriSembilan,2012,2525.39,85.49
NegeriSembilan,2013,2381.96,83.84
NegeriSembilan,2014,2686.58,81.6
NegeriSembilan,2015,2048.55,81.32
NegeriSembilan,2016,2026.38,79.7
NegeriSembilan,2017,2543.79,84.87
NegeriSembilan,2018,2447.6,83.02
NegeriSembilan,2019,1863.56,80.51
NegeriSembilan,2020,2444.13,82.38
NegeriSembilan,2021,2252.86,81.23
KualaLumpur,2000,3000.17,84.43
KualaLumpur,2001,2931.69,84.74
KualaLumpur,2002,2552.3,81.68
KualaLumpur,2003,2597.27,84.34
KualaLumpur,2004,2343.62,83.19
KualaLumpur,2005,2157.99,80.67
KualaLumpur,2006,3174.09,85.04
KualaLumpur,2007,3394.55,85.38
KualaLumpur,2008,3366.45,84.54
KualaLumpur,2009,3224.3,82.55
KualaLumpur,2010,3020.47,84.65
KualaLumpur,2011,3136.92,85.39
KualaLumpur,2012,3235.3,85.09
KualaLumpur,2013,2903.6,83.29
KualaLumpur,2014,3380.82,82.03
KualaLumpur,2015,3081.89,84.12
KualaLumpur,2016,2463.34,82.18
KualaLumpur,2017,2971.86,84.76
KualaLumpur,2018,3188.18,84.59
KualaLumpur,2019,2531.45,83.26
KualaLumpur,2020,3079.02,83.68
KualaLumpur,2021,2811.49,82.37
